1005 3015
992 485 19
369 384 10
427 30 79
165 4 40
987 552 5
973 697 63
771 247 9
870 122 38
663 492 33
622 203 40
474 350 91
495 656 87
657 495 33
352 8 16
588 702 92
401 693 47
286 849 18
545 716 91
57 45 85
257 630 78
434 806 8
913 199 78
539 413 14
888 622 26
242 35 39
840 345 10
204 340 47
605 37 93
896 173 85
223 128 62
92 899 42
73 41 55
156 7 23
781 458 20
769 481 95
448 106 27
412 135 35
597 91 55
892 555 17
522 785 67
916 498 95
58 36 59
557 749 5
979 872 27
985 527 74
698 936 49
359 365 73
502 784 91
844 889 39
581 844 10
329 437 21
437 742 98
920 207 39
682 973 86
102 4 75
968 847 77
856 298 48
580 697 21
118 726 69
892 722 32
475 297 34
773 112 11
720 71 39
60 126 9
470 420 82
807 643 85
40 57 87
683 662 16
240 610 39
910 232 3
19 518 82
344 73 33
328 630 61
128 943 39
96 365 12
768 441 34
380 736 87
931 614 36
366 60 77
607 577 77
692 807 45
483 58 49
260 918 74
633 61 36
297 604 86
346 587 48
582 531 12
939 274 33
323 311 20
321 50 81
843 418 17
5 3 54
149 132 43
736 108 55
795 273 14
804 310 24
491 262 39
572 759 100
278 701 92
409 383 29
357 26 55
660 84 73
305 369 62
186 120 67
953 824 63
148 157 25
484 887 53
456 600 49
366 492 60
503 87 29
166 361 25
637 720 57
607 391 29
262 397 98
519 723 44
843 170 66
878 716 97
663 944 55
26 4 51
518 1001 17
134 122 87
456 488 67
410 650 22
167 622 29
442 974 73
537 950 35
476 62 5
432 33 11
261 162 86
188 410 96
917 193 39
274 95 40
82 954 20
975 708 52
97 667 7
635 26 83
670 118 28
7 195 59
257 676 31
841 838 40
661 938 39
555 725 8
43 374 48
407 109 19
757 476 57
695 612 91
2 94 84
264 684 54
646 644 45
580 76 34
533 784 22
995 603 32
11 150 52
367 332 43
691 57 60
745 101 24
882 449 29
783 27 16
228 110 86
898 34 66
98 606 11
975 616 77
273 822 6
738 314 31
908 399 80
859 808 64
527 27 13
961 168 8
313 629 74
156 985 43
338 594 47
916 628 12
499 898 2
174 350 94
259 271 82
94 839 59
52 1 84
246 743 17
946 28 64
528 948 28
386 688 3
551 380 85
558 150 11
547 316 54
549 302 79
345 853 23
848 72 30
311 520 7
474 733 38
439 363 15
995 982 72
552 78 49
982 520 91
536 31 29
767 652 79
814 752 71
381 893 44
391 430 91
532 519 30
860 51 17
7 5 85
124 520 76
301 814 28
882 4 39
126 76 69
391 594 61
232 115 97
660 544 4
217 207 78
78 12 12
585 149 83
951 603 80
564 392 96
471 126 94
878 65 33
773 874 74
937 366 16
158 423 14
738 846 32
5 710 53
531 508 29
157 810 55
425 57 1
976 401 71
106 662 36
883 874 31
239 121 93
677 254 79
511 195 73
182 340 22
391 29 96
742 566 58
968 24 97
331 351 75
726 566 96
844 289 17
217 994 36
852 378 44
97 31 20
957 23 65
499 939 55
561 766 3
207 129 44
731 696 2
662 136 48
654 74 28
712 449 27
372 305 63
365 432 42
311 938 10
761 527 15
217 717 22
733 852 16
628 760 68
320 711 92
282 147 51
42 30 50
182 210 85
193 165 82
659 661 23
418 827 58
203 17 77
794 314 80
577 720 55
581 523 3
78 625 27
499 427 23
917 213 90
74 776 22
721 292 95
591 676 54
185 140 28
465 225 49
951 286 49
189 384 81
891 660 96
425 268 77
634 313 7
41 27 58
475 170 70
335 565 16
681 531 24
28 824 91
406 48 31
700 980 43
914 857 34
88 123 34
166 108 93
4 200 70
58 89 15
964 166 15
342 672 28
463 730 43
992 75 46
303 302 34
341 620 45
554 57 24
671 433 8
993 10 87
408 80 45
485 733 2
659 407 40
211 4 24
179 37 50
571 480 41
848 374 4
327 860 45
492 339 69
745 894 10
275 46 54
638 800 38
884 366 77
591 420 30
152 220 80
113 92 59
570 768 72
612 119 65
322 148 44
214 4 64
891 811 35
773 371 58
188 78 30
475 682 14
106 148 52
274 117 75
738 103 47
735 632 49
534 273 98
153 765 6
458 471 35
29 867 94
647 917 8
544 127 26
157 920 17
544 16 9
146 75 66
679 651 72
535 220 6
137 14 34
642 130 33
872 231 59
652 459 23
1004 895 9
616 468 40
290 956 2
366 861 20
148 97 12
460 952 67
36 141 63
830 678 27
655 347 53
267 572 73
706 665 57
732 488 66
461 787 24
369 90 31
777 33 64
810 468 72
432 742 81
941 795 69
47 848 58
818 670 74
228 103 28
658 923 84
872 238 43
579 443 37
760 687 49
814 549 14
459 900 42
136 100 35
325 997 99
652 429 52
130 460 57
390 636 7
126 570 92
293 728 59
549 624 78
684 929 55
714 536 77
896 275 93
785 236 81
958 405 81
948 765 65
403 947 89
96 66 46
929 823 40
235 70 20
197 136 61
497 420 64
412 302 52
904 804 81
319 21 21
856 915 77
428 731 9
154 76 56
524 283 71
410 510 45
37 334 57
841 553 37
171 717 38
648 634 91
88 508 35
922 52 41
677 231 47
623 9 41
251 904 84
946 71 57
411 382 71
493 217 38
556 509 33
48 31 63
829 421 71
175 720 13
776 689 79
973 568 59
308 181 10
879 45 18
116 830 30
456 612 22
222 586 33
994 536 81
966 835 3
435 426 6
848 572 10
125 670 11
553 889 61
721 463 80
824 789 7
465 367 17
44 32 16
523 685 96
138 259 59
924 456 50
759 247 88
788 581 6
607 432 43
346 85 72
605 187 62
458 167 13
881 730 61
861 867 47
195 326 27
196 825 83
935 76 11
508 503 5
64 327 42
30 975 73
803 79 74
42 799 23
599 820 94
645 154 7
486 503 56
781 521 96
586 589 64
493 780 65
979 567 58
478 98 24
1 996 44
568 154 16
539 988 93
382 585 60
711 364 11
808 761 51
158 524 61
38 927 99
606 399 8
27 562 3
75 150 22
555 563 70
841 34 67
431 354 34
847 531 68
141 683 93
867 299 17
810 375 78
236 209 97
416 828 10
593 451 50
353 920 71
194 163 32
963 389 44
116 732 29
225 136 87
349 274 91
786 546 92
149 11 51
286 237 1
609 527 67
411 259 47
616 810 16
529 6 59
361 159 58
453 780 79
835 393 62
681 137 18
978 415 29
357 550 69
543 263 21
628 682 50
767 415 90
593 247 87
76 33 83
485 278 57
68 129 32
719 106 51
441 224 35
521 82 28
424 28 60
336 39 36
766 358 50
387 549 92
685 331 31
758 189 30
732 254 30
983 1003 74
206 157 73
929 273 33
577 66 74
53 17 40
87 979 79
199 614 89
171 889 50
519 79 88
367 131 67
222 92 11
964 280 5
373 592 95
657 418 32
253 227 77
437 157 96
717 42 21
143 109 16
988 987 31
188 199 78
381 335 47
767 309 81
379 219 64
164 790 26
576 537 93
941 946 51
66 840 28
291 121 36
236 550 82
38 722 9
798 303 65
942 79 55
809 150 82
986 860 49
547 650 28
548 930 73
397 370 27
12 170 68
310 644 22
382 294 66
141 53 35
121 4 85
127 59 71
864 725 81
1001 138 16
481 430 99
801 585 77
309 670 88
645 726 66
774 65 59
410 448 17
963 240 64
341 296 39
591 724 80
479 194 42
17 74 31
171 112 83
72 14 69
469 389 18
969 333 64
110 173 77
150 612 83
808 134 70
35 33 10
768 442 83
109 188 97
274 615 82
371 233 62
608 223 64
821 41 4
812 811 27
473 112 50
408 285 40
475 88 49
414 26 31
739 673 7
813 680 48
128 564 59
33 168 94
139 867 65
70 749 17
931 643 63
846 669 29
238 88 7
641 546 94
60 430 70
757 274 90
746 233 76
467 121 90
506 902 7
85 557 39
327 49 66
997 147 41
493 800 8
340 176 28
959 460 24
34 840 56
32 2 9
782 57 85
785 18 72
330 840 64
462 533 11
563 285 21
11 50 3
745 352 60
65 23 3
353 454 61
756 622 59
340 757 61
487 100 55
342 265 75
985 31 29
318 754 17
771 233 3
856 931 36
66 29 10
447 268 24
847 171 25
499 974 86
479 423 13
912 287 83
133 274 76
794 558 31
972 637 24
504 995 36
14 972 58
146 226 47
119 88 43
385 263 18
2 60 83
101 853 14
314 557 82
921 687 93
688 441 87
143 23 84
740 393 4
237 789 89
124 270 97
487 606 14
413 69 2
788 702 51
951 695 89
20 689 82
237 137 19
699 670 91
432 98 17
110 586 80
417 580 67
820 311 93
364 265 17
500 840 79
67 310 76
287 166 45
752 199 61
729 147 51
151 139 80
341 870 70
615 796 97
45 597 22
574 927 88
684 125 31
539 630 88
240 631 69
172 124 23
707 289 74
69 905 4
380 115 79
351 457 14
99 330 100
935 244 92
511 616 67
915 80 2
363 268 80
962 543 49

